GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services",Estimate!!INDUSTRY!!Public administration
0500000US12031,"Duval County, Florida",684944,1213,24768,25019,10873,49800,28269,7781,47290,46090,81433,39338,21631
0500000US12033,"Escambia County, Florida",242493,1052,8192,5472,3357,17432,6695,2191,8153,13181,30820,13814,7397
0500000US12035,"Flagler County, Florida",79321,156,2244,2238,781,4968,1052,684,2873,4463,8598,3600,1606
0500000US12037,"Franklin County, Florida",9904,419,498,16,85,495,151,62,192,210,686,758,588
0500000US12039,"Gadsden County, Florida",37036,721,1476,771,234,1918,857,141,808,1368,3945,869,2640
0500000US12041,"Gilchrist County, Florida",13759,187,760,295,114,600,258,49,511,344,1537,423,507
0500000US12043,"Glades County, Florida",10650,905,275,148,33,170,405,8,121,106,756,309,350
0500000US12045,"Gulf County, Florida",13553,157,724,391,24,554,309,112,261,470,952,623,571
0500000US12047,"Hamilton County, Florida",12104,314,294,425,76,622,332,33,92,330,752,472,577
0500000US12049,"Hardee County, Florida",20683,3413,900,366,107,1003,506,31,294,647,1488,528,401
0500000US12051,"Hendry County, Florida",28944,3554,977,447,178,1852,698,17,483,846,2290,1369,982
0500000US12053,"Hernando County, Florida",142871,576,4753,2976,1150,9461,3152,1210,3750,4953,14536,4705,3145
0500000US12055,"Highlands County, Florida",82887,2680,2371,1196,686,4886,1245,375,1663,2457,7576,2720,2208
0500000US12057,"Hillsborough County, Florida",977674,7171,35783,33046,19937,70092,26086,15817,58760,77024,122604,58390,23285
0500000US12059,"Holmes County, Florida",16356,365,550,350,106,881,318,171,346,437,1496,460,712
0500000US12061,"Indian River County, Florida",115630,1503,4756,2769,1334,7528,1941,814,3651,6582,11306,5369,2161
0500000US12063,"Jackson County, Florida",41011,452,1061,654,355,2033,832,219,634,842,4703,1088,2937
0500000US12065,"Jefferson County, Florida",12100,156,364,126,65,570,241,136,247,602,1241,495,864
0500000US12067,"Lafayette County, Florida",6784,482,139,356,60,315,218,58,63,142,591,266,550
