GEO_ID,NAME,B08015_001E,B08015_002E,B08015_003E
id,Geographic Area Name,"Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Male","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Female"
0500000US28105,"Oktibbeha County, Mississippi",16480,8260,8220
0500000US28107,"Panola County, Mississippi",10910,5490,5420
0500000US28109,"Pearl River County, Mississippi",18345,9910,8435
0500000US28111,"Perry County, Mississippi",3965,2385,1580
0500000US28113,"Pike County, Mississippi",12830,6210,6620
0500000US28115,"Pontotoc County, Mississippi",10875,5450,5425
0500000US28117,"Prentiss County, Mississippi",8680,4540,4135
0500000US28119,"Quitman County, Mississippi",2105,1030,1075
0500000US28121,"Rankin County, Mississippi",60245,30105,30140
0500000US28123,"Scott County, Mississippi",9695,5110,4590
0500000US28125,"Sharkey County, Mississippi",1345,550,800
0500000US28127,"Simpson County, Mississippi",8670,4250,4420
0500000US28129,"Smith County, Mississippi",5460,2790,2670
0500000US28131,"Stone County, Mississippi",5865,3045,2820
0500000US28133,"Sunflower County, Mississippi",6920,3210,3710
0500000US28135,"Tallahatchie County, Mississippi",3610,1800,1810
0500000US28137,"Tate County, Mississippi",10735,5780,4955
0500000US28139,"Tippah County, Mississippi",7325,3785,3540
0500000US28141,"Tishomingo County, Mississippi",6620,3305,3315
0500000US28143,"Tunica County, Mississippi",3530,1780,1750
0500000US28145,"Union County, Mississippi",9850,5325,4525
0500000US28147,"Walthall County, Mississippi",4495,2285,2210
0500000US28149,"Warren County, Mississippi",18175,9385,8795
0500000US28151,"Washington County, Mississippi",14500,6690,7810
0500000US28153,"Wayne County, Mississippi",6455,3520,2935
0500000US28155,"Webster County, Mississippi",3180,1715,1460
0500000US28157,"Wilkinson County, Mississippi",2845,1470,1370
0500000US28159,"Winston County, Mississippi",6160,3235,2925
0500000US28161,"Yalobusha County, Mississippi",4020,2060,1960
0500000US28163,"Yazoo County, Mississippi",7705,3870,3835
0500000US29001,"Adair County, Missouri",8965,4620,4345
0500000US29003,"Andrew County, Missouri",7985,4075,3905
0500000US29005,"Atchison County, Missouri",2370,1305,1065
0500000US29007,"Audrain County, Missouri",8680,4435,4240
0500000US29009,"Barry County, Missouri",12375,6690,5685
0500000US29011,"Barton County, Missouri",4215,2265,1950
