year,state,state_po,county_name,county_fips,office,candidate,party,demVotes,repVotes,totalvotes
2012,ALABAMA,AL,MOBILE,1097,PRESIDENT,MITT ROMNEY,REPUBLICAN,94893,79971,174864
2012,ALABAMA,AL,MONROE,1099,PRESIDENT,MITT ROMNEY,REPUBLICAN,5741,4967,10708
2012,ALABAMA,AL,MONTGOMERY,1101,PRESIDENT,MITT ROMNEY,REPUBLICAN,38332,63592,101924
2012,ALABAMA,AL,MORGAN,1103,PRESIDENT,BARACK OBAMA,DEMOCRAT,13439,35884,49323
2012,ALABAMA,AL,PERRY,1105,PRESIDENT,BARACK OBAMA,DEMOCRAT,4568,1531,6099
2012,ALABAMA,AL,PICKENS,1107,PRESIDENT,BARACK OBAMA,DEMOCRAT,4455,5156,9611
2012,ALABAMA,AL,PIKE,1109,PRESIDENT,BARACK OBAMA,DEMOCRAT,6035,8072,14107
2012,ALABAMA,AL,RANDOLPH,1111,PRESIDENT,BARACK OBAMA,DEMOCRAT,3078,7320,10398
2012,ALABAMA,AL,RANDOLPH,1111,PRESIDENT,MITT ROMNEY,REPUBLICAN,7224,3174,10398
2012,ALABAMA,AL,RUSSELL,1113,PRESIDENT,MITT ROMNEY,REPUBLICAN,8278,10601,18879
2012,ALABAMA,AL,ST. CLAIR,1115,PRESIDENT,MITT ROMNEY,REPUBLICAN,29031,6117,35148
2012,ALABAMA,AL,SHELBY,1117,PRESIDENT,MITT ROMNEY,REPUBLICAN,71436,21071,92507
2012,ALABAMA,AL,SUMTER,1119,PRESIDENT,MITT ROMNEY,REPUBLICAN,1586,5441,7027
2012,ALABAMA,AL,TALLADEGA,1121,PRESIDENT,BARACK OBAMA,DEMOCRAT,13905,19468,33373
2012,ALABAMA,AL,TALLAPOOSA,1123,PRESIDENT,BARACK OBAMA,DEMOCRAT,6319,12510,18829
2012,ALABAMA,AL,TUSCALOOSA,1125,PRESIDENT,BARACK OBAMA,DEMOCRAT,32048,46542,78590
2012,ALABAMA,AL,WALKER,1127,PRESIDENT,BARACK OBAMA,DEMOCRAT,6557,21964,28521
2012,ALABAMA,AL,WASHINGTON,1129,PRESIDENT,BARACK OBAMA,DEMOCRAT,2976,5802,8778
2012,ALABAMA,AL,WASHINGTON,1129,PRESIDENT,MITT ROMNEY,REPUBLICAN,5761,3017,8778
2012,ALABAMA,AL,WILCOX,1131,PRESIDENT,MITT ROMNEY,REPUBLICAN,1679,4872,6551
2012,ALABAMA,AL,WINSTON,1133,PRESIDENT,MITT ROMNEY,REPUBLICAN,8312,1402,9714
2012,ARIZONA,AZ,APACHE,4001,PRESIDENT,MITT ROMNEY,REPUBLICAN,8250,17598,25848
2012,ARIZONA,AZ,COCHISE,4003,PRESIDENT,MITT ROMNEY,REPUBLICAN,29497,19506,49003
2012,ARIZONA,AZ,COCONINO,4005,PRESIDENT,BARACK OBAMA,DEMOCRAT,29257,22474,51731
2012,ARIZONA,AZ,GILA,4007,PRESIDENT,BARACK OBAMA,DEMOCRAT,7697,13831,21528
2012,ARIZONA,AZ,GRAHAM,4009,PRESIDENT,BARACK OBAMA,DEMOCRAT,3609,8246,11855
2012,ARIZONA,AZ,GREENLEE,4011,PRESIDENT,BARACK OBAMA,DEMOCRAT,1310,1664,2974
2012,ARIZONA,AZ,LA PAZ,4012,PRESIDENT,BARACK OBAMA,DEMOCRAT,1880,3837,5717
2012,ARIZONA,AZ,LA PAZ,4012,PRESIDENT,MITT ROMNEY,REPUBLICAN,3714,2003,5717
2012,ARIZONA,AZ,MARICOPA,4013,PRESIDENT,MITT ROMNEY,REPUBLICAN,749885,626673,1376558
2012,ARIZONA,AZ,MOHAVE,4015,PRESIDENT,MITT ROMNEY,REPUBLICAN,49168,20842,70010
2012,ARIZONA,AZ,NAVAJO,4017,PRESIDENT,MITT ROMNEY,REPUBLICAN,19884,17451,37335
2012,ARIZONA,AZ,PIMA,4019,PRESIDENT,MITT ROMNEY,REPUBLICAN,174779,207471,382250
2012,ARIZONA,AZ,PINAL,4021,PRESIDENT,BARACK OBAMA,DEMOCRAT,44306,64009,108315
2012,ARIZONA,AZ,SANTA CRUZ,4023,PRESIDENT,BARACK OBAMA,DEMOCRAT,9486,4408,13894
2012,ARIZONA,AZ,YAVAPAI,4025,PRESIDENT,BARACK OBAMA,DEMOCRAT,33918,66365,100283
2012,ARIZONA,AZ,YUMA,4027,PRESIDENT,BARACK OBAMA,DEMOCRAT,18059,23894,41953
2012,ARKANSAS,AR,ARKANSAS,5001,PRESIDENT,BARACK OBAMA,DEMOCRAT,2455,4039,6494
2012,ARKANSAS,AR,ARKANSAS,5001,PRESIDENT,MITT ROMNEY,REPUBLICAN,3897,2597,6494
2012,ARKANSAS,AR,ASHLEY,5003,PRESIDENT,MITT ROMNEY,REPUBLICAN,4867,3054,7921
2012,ARKANSAS,AR,BAXTER,5005,PRESIDENT,MITT ROMNEY,REPUBLICAN,13688,5651,19339
2012,ARKANSAS,AR,BENTON,5007,PRESIDENT,MITT ROMNEY,REPUBLICAN,54646,24611,79257
2012,ARKANSAS,AR,BOONE,5009,PRESIDENT,MITT ROMNEY,REPUBLICAN,11159,4232,15391
2012,ARKANSAS,AR,BRADLEY,5011,PRESIDENT,BARACK OBAMA,DEMOCRAT,1449,2203,3652
2012,ARKANSAS,AR,CALHOUN,5013,PRESIDENT,BARACK OBAMA,DEMOCRAT,660,1514,2174
2012,ARKANSAS,AR,CARROLL,5015,PRESIDENT,BARACK OBAMA,DEMOCRAT,3696,6487,10183
2012,ARKANSAS,AR,CHICOT,5017,PRESIDENT,BARACK OBAMA,DEMOCRAT,2649,1712,4361
2012,ARKANSAS,AR,CLARK,5019,PRESIDENT,BARACK OBAMA,DEMOCRAT,3811,4598,8409
2012,ARKANSAS,AR,CLARK,5019,PRESIDENT,MITT ROMNEY,REPUBLICAN,4343,4066,8409
2012,ARKANSAS,AR,CLAY,5021,PRESIDENT,MITT ROMNEY,REPUBLICAN,3225,1885,5110
2012,ARKANSAS,AR,CLEBURNE,5023,PRESIDENT,MITT ROMNEY,REPUBLICAN,8693,2954,11647
2012,ARKANSAS,AR,CLEVELAND,5025,PRESIDENT,MITT ROMNEY,REPUBLICAN,2313,953,3266
2012,ARKANSAS,AR,COLUMBIA,5027,PRESIDENT,MITT ROMNEY,REPUBLICAN,5790,3665,9455
2012,ARKANSAS,AR,CONWAY,5029,PRESIDENT,BARACK OBAMA,DEMOCRAT,3005,4725,7730
2012,ARKANSAS,AR,CRAIGHEAD,5031,PRESIDENT,BARACK OBAMA,DEMOCRAT,10527,21173,31700
2012,ARKANSAS,AR,CRAWFORD,5033,PRESIDENT,BARACK OBAMA,DEMOCRAT,4881,15710,20591
2012,ARKANSAS,AR,CRITTENDEN,5035,PRESIDENT,BARACK OBAMA,DEMOCRAT,9487,7229,16716
2012,ARKANSAS,AR,CROSS,5037,PRESIDENT,BARACK OBAMA,DEMOCRAT,2279,4402,6681
2012,ARKANSAS,AR,CROSS,5037,PRESIDENT,MITT ROMNEY,REPUBLICAN,4269,2412,6681
2012,ARKANSAS,AR,DALLAS,5039,PRESIDENT,MITT ROMNEY,REPUBLICAN,1665,1419,3084
2012,ARKANSAS,AR,DESHA,5041,PRESIDENT,MITT ROMNEY,REPUBLICAN,1896,2524,4420
2012,ARKANSAS,AR,DREW,5043,PRESIDENT,MITT ROMNEY,REPUBLICAN,3887,2746,6633
2012,ARKANSAS,AR,FAULKNER,5045,PRESIDENT,MITT ROMNEY,REPUBLICAN,26722,14738,41460
2012,ARKANSAS,AR,FRANKLIN,5047,PRESIDENT,BARACK OBAMA,DEMOCRAT,1726,4814,6540
2012,ARKANSAS,AR,FULTON,5049,PRESIDENT,BARACK OBAMA,DEMOCRAT,1452,3070,4522
2012,ARKANSAS,AR,GARLAND,5051,PRESIDENT,BARACK OBAMA,DEMOCRAT,13804,26924,40728
2012,ARKANSAS,AR,GRANT,5053,PRESIDENT,BARACK OBAMA,DEMOCRAT,1468,5011,6479
2012,ARKANSAS,AR,GREENE,5055,PRESIDENT,BARACK OBAMA,DEMOCRAT,4000,9761,13761
2012,ARKANSAS,AR,GREENE,5055,PRESIDENT,MITT ROMNEY,REPUBLICAN,9071,4690,13761
2012,ARKANSAS,AR,HEMPSTEAD,5057,PRESIDENT,MITT ROMNEY,REPUBLICAN,4284,2637,6921
2012,ARKANSAS,AR,HOT SPRING,5059,PRESIDENT,MITT ROMNEY,REPUBLICAN,7097,4163,11260
2012,ARKANSAS,AR,HOWARD,5061,PRESIDENT,MITT ROMNEY,REPUBLICAN,2892,1570,4462
2012,ARKANSAS,AR,INDEPENDENCE,5063,PRESIDENT,MITT ROMNEY,REPUBLICAN,8728,3669,12397
2012,ARKANSAS,AR,IZARD,5065,PRESIDENT,BARACK OBAMA,DEMOCRAT,1524,3754,5278
2012,ARKANSAS,AR,JACKSON,5067,PRESIDENT,BARACK OBAMA,DEMOCRAT,2095,3252,5347
2012,ARKANSAS,AR,JEFFERSON,5069,PRESIDENT,BARACK OBAMA,DEMOCRAT,17470,9913,27383
2012,ARKANSAS,AR,JOHNSON,5071,PRESIDENT,BARACK OBAMA,DEMOCRAT,2799,5299,8098
2012,ARKANSAS,AR,LAFAYETTE,5073,PRESIDENT,BARACK OBAMA,DEMOCRAT,1173,1756,2929
2012,ARKANSAS,AR,LAFAYETTE,5073,PRESIDENT,MITT ROMNEY,REPUBLICAN,1713,1216,2929
2012,ARKANSAS,AR,LAWRENCE,5075,PRESIDENT,MITT ROMNEY,REPUBLICAN,3536,2004,5540
2012,ARKANSAS,AR,LEE,5077,PRESIDENT,MITT ROMNEY,REPUBLICAN,1280,2144,3424
2012,ARKANSAS,AR,LINCOLN,5079,PRESIDENT,MITT ROMNEY,REPUBLICAN,2199,1527,3726
2012,ARKANSAS,AR,LITTLE RIVER,5081,PRESIDENT,MITT ROMNEY,REPUBLICAN,3385,1666,5051
2012,ARKANSAS,AR,LOGAN,5083,PRESIDENT,BARACK OBAMA,DEMOCRAT,2009,5322,7331
2012,ARKANSAS,AR,LONOKE,5085,PRESIDENT,BARACK OBAMA,DEMOCRAT,5625,18489,24114
2012,ARKANSAS,AR,MADISON,5087,PRESIDENT,BARACK OBAMA,DEMOCRAT,2099,4469,6568
2012,ARKANSAS,AR,MARION,5089,PRESIDENT,BARACK OBAMA,DEMOCRAT,2037,5014,7051
2012,ARKANSAS,AR,MILLER,5091,PRESIDENT,BARACK OBAMA,DEMOCRAT,4518,10811,15329
2012,ARKANSAS,AR,MILLER,5091,PRESIDENT,MITT ROMNEY,REPUBLICAN,10622,4707,15329
2012,ARKANSAS,AR,MISSISSIPPI,5093,PRESIDENT,MITT ROMNEY,REPUBLICAN,6603,6772,13375
2012,ARKANSAS,AR,MONROE,5095,PRESIDENT,MITT ROMNEY,REPUBLICAN,1585,1645,3230
2012,ARKANSAS,AR,MONTGOMERY,5097,PRESIDENT,MITT ROMNEY,REPUBLICAN,2369,1035,3404
