GEO_ID,NAME,DP03_0026E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E
id,Geographic Area Name,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over
0500000US05125,"Saline County, Arkansas",53771,401,5631,4260,1397,7296,2760,1561,3136,4489,12769,3771,2706,3594,53771
0500000US05131,"Sebastian County, Arkansas",55849,959,3011,12070,2015,5902,2907,1131,2498,2777,13316,4946,2520,1797,55849
0500000US05143,"Washington County, Arkansas",98467,2757,5366,14320,2977,14113,4683,1533,4329,8581,23382,7606,6038,2782,98467
0500000US05145,"White County, Arkansas",32461,1101,2824,3560,1080,3157,1463,143,1386,1146,9411,2816,1799,2575,32461
0500000US06001,"Alameda County, California",747170,2646,36176,80987,21664,74141,32068,22626,45107,126063,170045,71294,38390,25963,747170
0500000US06007,"Butte County, California",86165,2720,4338,5065,1606,12904,2386,1357,4251,8100,24616,9889,5620,3313,86165
0500000US06013,"Contra Costa County, California",498496,4861,33499,35030,13385,51752,23631,12483,48317,77831,112481,40828,23930,20468,498496
0500000US06017,"El Dorado County, California",82213,1115,6007,5924,1055,11148,2491,1833,7703,9435,16696,9431,3851,5524,82213
0500000US06019,"Fresno County, California",359429,44230,19007,23627,14741,36811,18128,4910,17317,30986,79229,31443,18380,20620,359429
0500000US06023,"Humboldt County, California",58865,2050,3950,2400,1165,7210,1925,1189,1975,4980,15847,9773,2345,4056,58865
0500000US06025,"Imperial County, California",56238,4958,3539,1330,1460,8370,3867,483,2966,3911,14181,3118,2724,5331,56238
0500000US06029,"Kern County, California",320071,52355,18277,18467,9897,33549,17337,3443,13210,27473,63033,26042,14205,22783,320071
0500000US06031,"Kings County, California",50815,8427,1275,5655,1664,3991,1912,579,1224,2901,11144,4668,1841,5534,50815
0500000US06033,"Lake County, California",23806,1601,1122,711,1140,2400,952,155,1341,1808,6232,4010,734,1600,23806
0500000US06037,"Los Angeles County, California",4506700,19831,254425,473952,161787,483645,239942,198984,284706,557489,931908,469371,285219,145441,4506700
0500000US06039,"Madera County, California",52981,11908,3437,3669,1678,4779,2919,826,1091,3328,10979,3435,2355,2577,52981
0500000US06041,"Marin County, California",128037,980,5777,5673,2406,14282,2764,3473,12704,26469,26428,13843,9212,4026,128037
0500000US06045,"Mendocino County, California",36728,2496,2758,2919,679,4630,1487,170,1169,2779,9188,4218,2333,1902,36728
0500000US06047,"Merced County, California",96057,13576,6567,12064,2804,10097,4854,1614,3767,5978,21272,5440,4245,3779,96057
0500000US06053,"Monterey County, California",181521,35491,9126,7839,5084,18226,5667,1845,6952,15259,35583,20564,10193,9692,181521
0500000US06055,"Napa County, California",67279,5795,4559,6953,1207,7634,2056,377,3590,5488,14896,8890,3523,2311,67279
0500000US06057,"Nevada County, California",42329,1151,4757,3929,483,3936,1883,1051,2316,5531,8153,4592,2054,2493,42329
0500000US06059,"Orange County, California",1478669,6836,83446,188358,49545,171241,49809,33951,126203,208164,285171,156873,79811,39261,1478669
0500000US06061,"Placer County, California",157891,1002,9825,10061,5829,19801,8352,4030,13239,20052,31590,15129,7088,11893,157891
0500000US06065,"Riverside County, California",882903,15122,74471,85030,28915,123473,40525,14108,47882,84352,176788,103047,44698,44492,882903
0500000US06067,"Sacramento County, California",615013,6177,38014,34984,13022,71584,31188,10880,46704,70135,136710,59671,32217,63727,615013
0500000US06071,"San Bernardino County, California",799895,6442,56427,84463,28536,107407,59429,10451,39731,70543,174507,71372,44775,45812,799895
0500000US06073,"San Diego County, California",1412983,13688,79899,134382,30368,158234,54032,33832,92003,204296,301559,158008,77018,75664,1412983
0500000US06075,"San Francisco County, California",457285,632,14763,24733,6811,45543,15866,24667,42937,98623,85534,58740,23160,15276,457285
0500000US06077,"San Joaquin County, California",269943,13782,18092,26382,9879,36930,15945,5729,12298,27759,58147,20462,12770,11768,269943
0500000US06079,"San Luis Obispo County, California",127708,4446,7844,8585,2854,16740,7449,2453,6307,14844,29460,14786,4885,7055,127708
0500000US06081,"San Mateo County, California",379197,1767,21287,27785,8788,36990,19160,12991,26929,66453,83940,37845,22543,12719,379197
0500000US06083,"Santa Barbara County, California",191826,15777,9882,15473,3434,20345,8176,4545,10295,21594,42758,21492,8538,9517,191826
0500000US06085,"Santa Clara County, California",883722,3622,43318,170598,19113,87361,24630,32998,41301,165737,164373,69657,40636,20378,883722
0500000US06087,"Santa Cruz County, California",134312,9129,7712,11325,3860,15802,3267,2075,5936,17590,30860,17268,5585,3903,134312
0500000US06089,"Shasta County, California",69984,2210,4979,2752,1242,8668,3069,970,3601,5937,18425,8837,5561,3733,69984
0500000US06095,"Solano County, California",180896,2964,12687,15785,5194,24090,9309,3245,11567,16417,41014,15868,7613,15143,180896
0500000US06097,"Sonoma County, California",233307,8692,17312,24049,4615,30106,6906,4397,14149,28408,46676,25760,13294,8943,233307
0500000US06099,"Stanislaus County, California",202047,11124,12162,26592,7084,28422,9012,1540,8856,19374,43340,15688,10804,8049,202047
0500000US06101,"Sutter County, California",37387,3454,2247,2955,1213,5301,1902,414,2275,1688,7853,3315,2220,2550,37387
0500000US06107,"Tulare County, California",170308,32037,7926,12932,8000,16996,7415,857,5674,8331,39783,13045,7982,9330,170308
0500000US06111,"Ventura County, California",392045,18241,22084,40289,13439,44519,11934,9507,29491,47114,74690,40353,21164,19220,392045
