GEO_ID,NAME,CP05_2012_2016_001E,CP05_2012_2016_002E,CP05_2012_2016_003E,CP05_2012_2016_004E,CP05_2012_2016_005E,CP05_2012_2016_006E,CP05_2012_2016_007E,CP05_2012_2016_008E,CP05_2012_2016_009E,CP05_2012_2016_010E,CP05_2012_2016_011E,CP05_2012_2016_012E,CP05_2012_2016_013E,CP05_2012_2016_014E,CP05_2012_2016_015E,CP05_2012_2016_016E,CP05_2012_2016_017E,CP05_2012_2016_018E,CP05_2012_2016_019E,CP05_2012_2016_020E,CP05_2012_2016_021E,CP05_2012_2016_022E,CP05_2012_2016_023E,CP05_2012_2016_024E,CP05_2012_2016_025E,CP05_2012_2016_026E,CP05_2012_2016_027E,CP05_2012_2016_028E,CP05_2012_2016_029E,CP05_2012_2016_030E,CP05_2012_2016_031E,CP05_2012_2016_032E,CP05_2012_2016_033E,CP05_2012_2016_034E,CP05_2012_2016_035E,CP05_2012_2016_036E,CP05_2012_2016_037E,CP05_2012_2016_038E,CP05_2012_2016_039E,CP05_2012_2016_040E,CP05_2012_2016_041E,CP05_2012_2016_042E,CP05_2012_2016_043E,CP05_2012_2016_044E,CP05_2012_2016_045E,CP05_2012_2016_046E,CP05_2012_2016_047E,CP05_2012_2016_048E,CP05_2012_2016_049E,CP05_2012_2016_050E,CP05_2012_2016_051E,CP05_2012_2016_052E,CP05_2012_2016_053E,CP05_2012_2016_054E,CP05_2012_2016_055E,CP05_2012_2016_056E,CP05_2012_2016_057E,CP05_2012_2016_058E,CP05_2012_2016_059E,CP05_2012_2016_060E,CP05_2012_2016_061E,CP05_2012_2016_062E,CP05_2012_2016_063E,CP05_2012_2016_064E,CP05_2012_2016_065E,CP05_2012_2016_066E,CP05_2012_2016_067E,CP05_2012_2016_068E,CP05_2012_2016_069E,CP05_2012_2016_070E,CP05_2012_2016_071E,CP05_2012_2016_072E,CP05_2012_2016_073E,CP05_2012_2016_074E,CP05_2012_2016_075E,CP05_2012_2016_076E,CP05_2012_2016_077E,CP05_2012_2016_078E,CP05_2012_2016_079E,CP05_2012_2016_080E,CP05_2012_2016_081E,CP05_2012_2016_082E,CP05_2012_2016_083E,CP05_2012_2016_084E
0500000US06071,"San Bernardino County, California",2106754,49.7,50.3,7.3,7.6,7.6,7.8,8.2,14.5,12.9,12.9,5.9,4.9,6.2,2.9,1.2,32.7,72.6,67.9,13,10.4,1530272,49.2,50.8,218205,44.7,55.3,2106754,95.4,4.6,95.4,62,8.6,0.8,0.1,0,0,0,6.8,0.5,1.6,2,0.2,0.6,0.6,1.1,0.3,0,0.1,0.1,0.2,16.9,4.6,0.8,0.7,0.8,0.2,2106754,65.6,10.1,2.1,8.2,0.7,18.4,2106754,51.7,44.5,0.9,0.3,6,48.3,30.5,8.1,0.3,6.6,0.3,0.2,2.3,0.1,2.2,708442,1311445,49.2,50.8
0500000US06073,"San Diego County, California",3253356,50.3,49.7,6.5,6.2,6,6.5,8.3,16.1,13.2,13.1,6.1,5.3,7.1,3.8,1.8,35.3,77.6,73.1,15.8,12.7,2525692,50,50,413435,44,56,3253356,95.1,4.9,95.1,71,5,0.7,0,0,0,0,11.6,1,1.9,4.8,0.6,0.7,1.5,1.1,0.5,0.1,0.2,0.1,0.1,6.4,4.9,0.7,0.6,1.7,0.1,3253356,75.1,6.3,1.6,14,0.9,7.4,3253356,33.1,29.5,0.7,0.2,2.6,66.9,46.7,4.7,0.4,11.3,0.4,0.2,3.2,0.1,3.1,1187644,2174368,50.5,49.5
0500000US06075,"San Francisco County, California",850282,51,49,4.6,3.7,3.3,3.6,6.2,22.7,16.1,13.6,6.1,5.9,7.6,4.4,2.3,38.4,86.5,84,17.9,14.4,735654,50.9,49.1,122295,44.6,55.4,850282,95.1,4.9,95.1,48.1,5.4,0.3,0,0,0,0,33.9,1.9,21.2,4.4,1.3,1.2,1.7,2.2,0.4,0.1,0.1,0.2,0.1,7,4.9,0.6,0.4,2.2,0.1,850282,52.3,6.5,1,36.9,0.7,7.8,850282,15.3,7.7,0.6,0.3,6.8,84.7,41.2,5.1,0.2,33.5,0.3,0.5,3.9,0.2,3.7,386755,627262,50.8,49.2
0500000US06077,"San Joaquin County, California",714860,49.8,50.2,7.3,7.8,8,7.7,7.3,13.5,12.9,12.9,5.8,5,6.8,3.4,1.5,33.7,72.1,67.7,14.5,11.7,515339,49.2,50.8,83916,44,56,714860,91.1,8.9,91.1,56.4,7,0.6,0,0,0,0,14.9,2.5,1.3,4.9,0.4,0.2,1,4.8,0.6,0,0.1,0.1,0.3,11.6,8.9,0.9,3.4,1.4,0.2,714860,63.9,8.9,4.9,17.7,1.4,13.1,714860,40.5,36.2,0.7,0.1,3.4,59.5,33.9,6.7,0.3,14.5,0.5,0.1,3.5,0.2,3.4,237752,433293,48.8,51.2
0500000US06079,"San Luis Obispo County, California",278680,50.8,49.2,4.9,5.1,5.1,8,10.8,11.5,10.6,12.3,7.2,6.9,10,5.2,2.4,39,81.8,74.1,21.6,17.6,227868,50.8,49.2,48924,45.9,54.1,278680,96.7,3.3,96.7,85.5,2,0.7,0,0,0,0,3.7,0.3,0.8,1.2,0.5,0.3,0.3,0.5,0.1,0,0,0,0.1,4.7,3.3,0.4,0.9,1,0,278680,88.4,2.5,1.9,5,0.4,5.3,278680,21.9,18.6,0.4,0.2,2.7,78.1,69.7,1.9,0.4,3.6,0.1,0,2.4,0.1,2.3,119399,213215,50.6,49.4
0500000US06081,"San Mateo County, California",754748,49.2,50.8,6.1,6.2,5.8,5.4,5.6,14.2,14.6,14.6,6.9,6,8.1,4.4,2.2,39.5,78.5,75.6,18.1,14.6,592308,48.7,51.3,110519,43.2,56.8,754748,95,5,95,53.6,2.5,0.3,0,0,0,0,27,2.2,10.8,9.6,1.3,0.8,0.6,1.8,1.4,0.1,0.1,0.2,1,10.2,5,0.5,0.4,2.2,0.1,754748,57.8,3.4,1,30.1,2,11.3,754748,25.1,15.8,0.6,0.2,8.5,74.9,40.4,2.3,0.1,26.6,1.4,0.4,3.7,0.2,3.5,273798,486009,48.4,51.6
0500000US06083,"Santa Barbara County, California",439395,50.1,49.9,6.5,6.1,6.2,8.5,11.2,13.2,11.4,11.8,5.9,5.2,7.4,4.3,2.3,33.7,77.5,70,16.9,14,340525,49.8,50.2,61517,44.3,55.7,439395,95.7,4.3,95.7,74.1,2,0.9,0,0,0,0,5.3,0.4,1.3,1.7,0.5,0.5,0.4,0.5,0.2,0,0,0,0.1,13.2,4.3,0.5,0.9,1.1,0,439395,77.8,2.9,2.2,6.9,0.5,14.3,439395,44.4,40.8,0.4,0.1,3.1,55.6,45.9,1.7,0.3,5.1,0.1,0.1,2.3,0,2.3,154574,278445,49.1,50.9
0500000US06085,"Santa Clara County, California",1885056,50.4,49.6,6.4,6.7,6.4,6,6.4,15.4,14.9,14.4,6.2,5,6.8,3.7,1.7,36.8,76.9,73.3,15,12.2,1449838,50.1,49.9,230274,44.2,55.8,1885056,95.2,4.8,95.2,46.9,2.5,0.5,0,0,0,0,34.4,8.3,9.3,4.8,1.4,1.5,7.1,1.9,0.4,0,0.1,0.1,0.2,10.6,4.8,0.5,0.5,2,0,1885056,50.8,3.4,1.3,37.2,0.8,11.7,1885056,26.3,22.3,0.4,0.1,3.4,73.7,33.2,2.4,0.2,34.2,0.4,0.2,3.2,0.2,3,651905,1142325,49.6,50.4
0500000US06087,"Santa Cruz County, California",270931,49.6,50.4,5.5,5.5,5.6,8.4,10.2,12.1,11.9,13.2,7.4,6.6,8.3,3.5,1.8,37,79.9,72.4,17.2,13.5,216409,49.2,50.8,36624,45.1,54.9,270931,95.5,4.5,95.5,79.3,0.9,0.6,0,0,0,0,4.5,0.5,1.5,1,0.5,0.3,0.3,0.4,0.1,0,0,0,0.1,10.1,4.5,0.6,0.9,1.2,0,270931,83.4,1.8,2,6.3,0.5,11,270931,33.1,29.2,0.4,0.1,3.4,66.9,58.2,0.8,0.2,4.3,0.1,0.2,3.2,0.1,3.1,105255,187647,48.8,51.2
0500000US06089,"Shasta County, California",179228,49,51,5.8,6.1,5.9,6.1,6.2,12.2,10.5,13.2,7.4,7.3,11.2,5.6,2.5,42.3,78.3,74.9,23.6,19.3,140406,48.4,51.6,34570,45.8,54.2,179228,95.5,4.5,95.5,87,1,2.4,0.2,0,0,0,2.9,0.3,0.5,0.4,0.2,0.1,0.1,1.3,0,0,0,0,0,2.1,4.5,0.7,2.1,0.7,0.1,179228,91.3,2,4.8,3.8,0.2,2.7,179228,9.3,7.2,0.3,0.1,1.8,90.7,81,0.9,2.1,2.9,0,0,3.7,0.1,3.5,77942,136654,48.4,51.6
0500000US06093,"Siskiyou County, California",43668,49.7,50.3,5.2,6.1,5.3,5.7,5,10.2,9.4,12.7,8.7,8.8,13.9,5.9,2.9,47.9,79.8,76.4,27.9,22.8,34827,49.6,50.4,9941,48.9,51.1,43668,93.9,6.1,93.9,85.5,1.6,3.4,0.2,0,0,0,1.6,0,0.4,0.2,0.1,0,0.1,0.7,0.3,0.1,0,0.2,0,1.5,6.1,0.5,3.8,0.6,0.1,43668,91.4,2.6,7.7,2.3,0.5,2.1,43668,11.7,10.2,0.2,0.1,1.3,88.3,77.6,1.6,2.9,1.6,0.3,0.1,4.2,0,4.2,24034,33782,49.2,50.8
0500000US06095,"Solano County, California",429596,49.7,50.3,6.2,6.4,6.5,6.4,7.2,14.2,12.4,14,6.9,6.4,8.1,3.9,1.6,37.5,77,73.2,17.3,13.6,330756,49.3,50.7,58275,44.1,55.9,429596,92.6,7.4,92.6,52.9,14.1,0.5,0,0,0,0,15.2,1.2,1.2,10.4,0.4,0.3,0.6,1.1,0.8,0.1,0.3,0.1,0.3,9,7.4,1.4,0.9,2,0.2,429596,58.9,16.8,2,18.6,1.7,10.3,429596,25.4,19.4,1.1,0.2,4.7,74.6,39.4,13.6,0.2,14.8,0.8,0.2,5.4,0.2,5.2,155091,296030,49.4,50.6
0500000US06097,"Sonoma County, California",497776,49,51,5.3,5.8,5.8,6.2,6.4,13,12.2,13.9,7.3,7.3,9.9,4.5,2.3,41.2,79.4,75.4,20.9,16.7,395101,48.4,51.6,83344,43.9,56.1,497776,95,5,95,76.1,1.6,1.1,0,0,0,0,3.9,0.5,0.8,0.7,0.3,0.3,0.4,0.9,0.3,0.1,0,0.1,0.2,12.1,5,0.7,1.4,1.1,0,497776,80.5,2.6,2.9,5.5,0.8,13.1,497776,26,22.3,0.4,0.1,3.2,74,64.4,1.3,0.5,3.9,0.3,0.4,3.2,0.1,3.2,207058,350057,47.9,52.1
0500000US06099,"Stanislaus County, California",530561,49.4,50.6,7.4,7.5,7.9,7.5,7.3,14,12.6,12.7,5.9,5,7,3.6,1.6,33.8,72.6,68.2,15,12.1,385001,48.8,51.2,64443,43.9,56.1,530561,95.7,4.3,95.7,74.6,2.7,0.7,0.1,0,0,0,5.4,1.4,0.6,1.2,0.1,0.1,0.4,1.5,0.7,0.1,0,0,0.5,11.5,4.3,0.6,0.9,0.9,0,530561,78.4,3.8,2,6.8,1.1,12.7,530561,44.3,40.8,0.7,0,2.8,55.7,44.1,2.5,0.4,5.2,0.7,0.2,2.6,0.1,2.5,180386,328049,48.5,51.5
0500000US06101,"Sutter County, California",95406,49.8,50.2,6.9,8.1,6.9,7,6.8,13.4,12.2,12.7,6,5.4,8,4.5,2,35.6,73.6,69.9,17.4,14.5,70226,49.1,50.9,13795,44.8,55.2,95406,93.9,6.1,93.9,71,2,0.9,0.1,0,0,0,15,10.8,0.4,1.1,0.4,0.3,0.4,1.7,0.4,0.1,0.2,0,0.1,4.6,6.1,0.8,1.6,1.9,0.1,95406,76.3,3.1,2.9,17.9,1,5.6,95406,29.9,27.5,0.5,0.1,1.8,70.1,48,1.8,0.7,14.9,0.3,0.1,4.3,0.4,3.9,34102,59843,48.3,51.7
0500000US06103,"Tehama County, California",63015,49.8,50.2,6.1,7.1,6.6,6.3,5.9,11.6,11.4,13.4,6.8,6.9,10.5,5.4,2.1,40.6,75.9,72.3,22.2,17.9,47856,49.3,50.7,11276,47.1,52.9,63015,96,4,96,86.5,0.6,2.8,0.3,0,0,0,1.4,0.1,0.2,0.3,0.1,0.5,0,0.2,0,0,0,0,0,4.7,4,0.5,2.3,0.3,0,63015,90.3,1.2,5.1,1.9,0.1,5.5,63015,23.7,22,0.1,0,1.5,76.3,69.8,0.6,1.7,1.4,0,0,2.7,0.1,2.6,27225,45460,49,51
0500000US06105,"Trinity County, California",13180,51.2,48.8,4.4,4.6,5,5.7,3,8.3,11.4,13.8,9.1,10.5,14.3,7.2,2.6,50.6,82.7,79.4,31,24.1,10903,51.6,48.4,3181,51.4,48.6,13180,97.3,2.7,97.3,86.3,1.1,4.3,0.6,0.2,0,0.1,1.6,0,0.3,0.1,0,0.1,0.3,0.8,1,0,0.3,0.7,0,3,2.7,0.1,2.2,0.1,0,13180,88.9,1.3,6.6,1.8,1.2,3.1,13180,7.2,6.1,0,0,1.1,92.8,83,1.1,4.3,1.3,1,0.1,2,0,2,8788,10472,51.7,48.3
0500000US06107,"Tulare County, California",455769,50,50,8.7,9,8.7,8.2,7.6,14,12.3,11.4,5.1,4.5,6,3.1,1.3,30.4,68.4,63.5,13,10.4,311824,49.6,50.4,47492,45.1,54.9,455769,96.8,3.2,96.8,79.7,1.6,1.3,0.1,0,0.1,0,3.5,0.2,0.3,1.5,0.1,0.1,0.1,1.1,0.2,0,0,0,0.1,10.5,3.2,0.4,0.7,0.5,0,455769,82.4,2.3,2.3,4.5,0.5,11.6,455769,63,60.8,0.3,0.1,1.8,37,30.1,1.3,0.6,3.2,0.1,0.2,1.5,0,1.4,145661,245638,48.4,51.6
0500000US06109,"Tuolumne County, California",53864,52.2,47.8,4.2,5.2,4.2,5.3,5.5,11.5,10.4,12.8,8.3,9.1,13.7,6.7,3.1,48.2,83.3,80.2,29.5,23.4,44881,52.5,47.5,12628,47.9,52.1,53864,95.8,4.2,95.8,88.4,1.9,1.6,0.2,0.1,0.1,0,1.3,0.3,0.4,0.3,0,0.1,0,0.2,0.2,0,0.1,0,0.1,2.4,4.2,0.5,2,0.4,0,53864,92.1,2.6,4.1,2.1,0.4,3.3,53864,11.6,9.3,0.3,0.1,1.9,88.4,81.2,1.8,1.3,1.3,0.1,0,2.8,0,2.8,31358,43962,52.2,47.8
