GEO_ID,NAME,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0023E,DP05_0024E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0081E
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!SEX AND AGE!!Under 5 years,Estimate!!SEX AND AGE!!5 to 9 years,Estimate!!SEX AND AGE!!10 to 14 years,Estimate!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Estimate!!SEX AND AGE!!25 to 34 years,Estimate!!SEX AND AGE!!35 to 44 years,Estimate!!SEX AND AGE!!45 to 54 years,Estimate!!SEX AND AGE!!55 to 59 years,Estimate!!SEX AND AGE!!60 to 64 years,Estimate!!SEX AND AGE!!65 to 74 years,Estimate!!SEX AND AGE!!75 to 84 years,Estimate!!SEX AND AGE!!85 years and over,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!RACE!!White,Estimate!!RACE!!Black or African American,Estimate!!RACE!!American Indian and Alaska Native,Estimate!!RACE!!Asian,Estimate!!RACE!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!Total housing units
0500000US55021,"Columbia County, Wisconsin",56596,28797,27799,3383,3586,3867,3492,2749,6747,7746,9239,4113,3357,4395,2795,1127,22118,21334,54938,921,486,465,59,442,56596,26108
0500000US55023,"Crawford County, Wisconsin",16677,8651,8026,930,901,1120,1062,812,1741,1861,2617,1397,1129,1717,920,470,6721,6287,16198,378,82,61,0,39,16677,8840
0500000US55025,"Dane County, Wisconsin",490379,242670,247709,30191,30047,28543,33518,48791,78331,65111,68447,31589,24828,27128,16328,7527,188456,195983,433476,31786,4550,26688,498,7770,490379,216027
0500000US55027,"Dodge County, Wisconsin",88741,46642,42099,4902,5746,5277,5471,4991,11317,12326,14728,5834,4940,6555,4525,2129,36719,32566,84793,2893,748,644,22,848,88741,37004
0500000US55029,"Door County, Wisconsin",27872,13765,14107,1251,1315,1400,1520,1037,2664,2912,4504,2568,2363,3421,2022,895,11193,11706,27059,213,284,158,63,350,27872,23689
0500000US55031,"Douglas County, Wisconsin",43963,21915,22048,2547,2473,2749,2931,3074,5586,5308,6915,3277,2741,3409,2094,859,17145,17388,41963,829,1555,551,24,88,43963,22767
0500000US55033,"Dunn County, Wisconsin",43788,21996,21792,2351,2451,2672,4289,5974,4914,4891,5779,2709,2328,2827,1809,794,17517,17302,42191,381,437,1253,125,113,43788,17938
0500000US55035,"Eau Claire County, Wisconsin",98952,48631,50321,5769,5541,5918,8336,12815,12915,10916,12776,5993,5469,6255,4029,2220,37787,40338,93863,1434,930,3809,20,657,98952,42144
0500000US55037,"Florence County, Wisconsin",4486,2288,2198,228,295,168,247,172,338,511,885,334,404,510,264,130,1848,1775,4360,97,125,9,0,16,4486,4657
0500000US55039,"Fond du Lac County, Wisconsin",101577,49890,51687,5908,5938,6911,7071,6281,12168,13013,15885,6626,6449,7564,5198,2565,38112,40462,97638,1756,1037,1377,45,1466,101577,43880
