year,state,state_po,county_name,county_fips,office,candidate,party,demVotes,repVotes,totalvotes
2016,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,DONALD TRUMP,REPUBLICAN,18172,6801,24973
2016,ALABAMA,AL,BALDWIN,1003,PRESIDENT,DONALD TRUMP,REPUBLICAN,72883,22332,95215
2016,ALABAMA,AL,BARBOUR,1005,PRESIDENT,DONALD TRUMP,REPUBLICAN,5454,5015,10469
2016,ALABAMA,AL,BIBB,1007,PRESIDENT,HILLARY CLINTON,DEMOCRAT,1874,6945,8819
2016,ALABAMA,AL,BLOUNT,1009,PRESIDENT,HILLARY CLINTON,DEMOCRAT,2156,23432,25588
2016,ALABAMA,AL,BULLOCK,1011,PRESIDENT,HILLARY CLINTON,DEMOCRAT,3530,1180,4710
2016,ALABAMA,AL,BUTLER,1013,PRESIDENT,HILLARY CLINTON,DEMOCRAT,3726,5006,8732
2016,ALABAMA,AL,CALHOUN,1015,PRESIDENT,HILLARY CLINTON,DEMOCRAT,13242,34622,47864
2016,ALABAMA,AL,CALHOUN,1015,PRESIDENT,DONALD TRUMP,REPUBLICAN,32865,14999,47864
2016,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,DONALD TRUMP,REPUBLICAN,7843,6057,13900
2016,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,DONALD TRUMP,REPUBLICAN,8953,1780,10733
2016,ALABAMA,AL,CHILTON,1021,PRESIDENT,DONALD TRUMP,REPUBLICAN,15081,3288,18369
2016,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,DONALD TRUMP,REPUBLICAN,4106,3186,7292
2016,ALABAMA,AL,CLARKE,1025,PRESIDENT,HILLARY CLINTON,DEMOCRAT,5749,7282,13031
2016,ALABAMA,AL,CLAY,1027,PRESIDENT,HILLARY CLINTON,DEMOCRAT,1237,5387,6624
2016,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,HILLARY CLINTON,DEMOCRAT,684,5909,6593
2016,ALABAMA,AL,COFFEE,1031,PRESIDENT,HILLARY CLINTON,DEMOCRAT,4221,16546,20767
2016,ALABAMA,AL,COLBERT,1033,PRESIDENT,HILLARY CLINTON,DEMOCRAT,7312,17603,24915
2016,ALABAMA,AL,COLBERT,1033,PRESIDENT,DONALD TRUMP,REPUBLICAN,16746,8169,24915
2016,ALABAMA,AL,CONECUH,1035,PRESIDENT,DONALD TRUMP,REPUBLICAN,3420,3165,6585
2016,ALABAMA,AL,COOSA,1037,PRESIDENT,DONALD TRUMP,REPUBLICAN,3381,1871,5252
2016,ALABAMA,AL,COVINGTON,1039,PRESIDENT,DONALD TRUMP,REPUBLICAN,13267,2673,15940
2016,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,DONALD TRUMP,REPUBLICAN,4513,1754,6267
2016,ALABAMA,AL,CULLMAN,1043,PRESIDENT,HILLARY CLINTON,DEMOCRAT,3798,34075,37873
2016,ALABAMA,AL,DALE,1045,PRESIDENT,HILLARY CLINTON,DEMOCRAT,4413,14336,18749
2016,ALABAMA,AL,DALLAS,1047,PRESIDENT,HILLARY CLINTON,DEMOCRAT,12836,5956,18792
2016,ALABAMA,AL,DEKALB,1049,PRESIDENT,HILLARY CLINTON,DEMOCRAT,3622,22204,25826
2016,ALABAMA,AL,ELMORE,1051,PRESIDENT,HILLARY CLINTON,DEMOCRAT,8443,28817,37260
2016,ALABAMA,AL,ELMORE,1051,PRESIDENT,DONALD TRUMP,REPUBLICAN,27634,9626,37260
2016,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,DONALD TRUMP,REPUBLICAN,9935,4910,14845
2016,ALABAMA,AL,ETOWAH,1055,PRESIDENT,DONALD TRUMP,REPUBLICAN,32353,11811,44164
2016,ALABAMA,AL,FAYETTE,1057,PRESIDENT,DONALD TRUMP,REPUBLICAN,6712,1537,8249
2016,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,DONALD TRUMP,REPUBLICAN,9466,2574,12040
2016,ALABAMA,AL,GENEVA,1061,PRESIDENT,HILLARY CLINTON,DEMOCRAT,1525,10233,11758
2016,ALABAMA,AL,GREENE,1063,PRESIDENT,HILLARY CLINTON,DEMOCRAT,4013,867,4880
2016,ALABAMA,AL,HALE,1065,PRESIDENT,HILLARY CLINTON,DEMOCRAT,4775,3265,8040
2016,ALABAMA,AL,HENRY,1067,PRESIDENT,HILLARY CLINTON,DEMOCRAT,2292,5780,8072
2016,ALABAMA,AL,HOUSTON,1069,PRESIDENT,HILLARY CLINTON,DEMOCRAT,10664,31975,42639
2016,ALABAMA,AL,HOUSTON,1069,PRESIDENT,DONALD TRUMP,REPUBLICAN,30728,11911,42639
