GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration
0500000US31051,"Dixon County, Nebraska",4567,350,188,557,168,268,103,44,133,107,725,155,125,134
0500000US31053,"Dodge County, Nebraska",28887,818,1328,3433,585,2541,983,209,950,1128,3564,1175,843,532
0500000US31055,"Douglas County, Nebraska",387990,1695,16504,22935,8517,30269,13947,7544,28074,31347,62303,23155,10781,6102
0500000US31057,"Dundy County, Nebraska",1582,283,55,14,27,76,27,21,41,39,329,36,23,42
0500000US31059,"Fillmore County, Nebraska",4809,545,247,295,87,321,192,43,171,65,646,121,182,136
0500000US31061,"Franklin County, Nebraska",2623,256,124,102,59,206,86,19,45,43,293,74,78,75
0500000US31063,"Frontier County, Nebraska",2277,299,93,97,41,120,100,14,120,38,326,78,61,85
0500000US31065,"Furnas County, Nebraska",3950,349,169,151,79,257,111,91,136,90,580,163,125,75
0500000US31067,"Gage County, Nebraska",17895,679,689,1786,278,1081,577,72,466,490,3050,512,644,754
0500000US31069,"Garden County, Nebraska",1789,229,72,18,33,178,28,12,33,30,240,90,69,32
0500000US31071,"Garfield County, Nebraska",1648,195,96,120,31,214,52,21,61,22,200,75,43,30
0500000US31073,"Gosper County, Nebraska",1680,136,85,95,25,161,72,30,68,35,149,73,53,74
0500000US31075,"Grant County, Nebraska",547,156,21,2,20,41,18,17,13,4,80,9,15,6
0500000US31077,"Greeley County, Nebraska",1945,323,58,38,29,174,77,16,35,28,302,42,69,44
0500000US31079,"Hall County, Nebraska",42930,910,2076,5850,921,4877,1650,283,1730,1568,5497,2346,1626,760
0500000US31081,"Hamilton County, Nebraska",7083,546,211,834,231,364,284,219,201,239,998,258,216,166
0500000US31083,"Harlan County, Nebraska",2813,303,180,145,58,178,75,6,139,56,491,79,29,42
0500000US31085,"Hayes County, Nebraska",822,185,39,15,14,58,50,3,19,15,76,23,17,28
0500000US31087,"Hitchcock County, Nebraska",2374,205,109,150,48,164,150,4,73,44,279,80,15,60
0500000US31089,"Holt County, Nebraska",8339,1191,388,259,227,650,361,43,253,177,1205,336,266,113
0500000US31091,"Hooker County, Nebraska",549,91,16,7,0,38,24,14,6,6,77,47,14,14
0500000US31093,"Howard County, Nebraska",4963,468,284,383,137,423,190,22,155,153,718,120,106,69
0500000US31095,"Jefferson County, Nebraska",6276,393,162,743,118,576,299,36,100,79,791,293,168,215
0500000US31097,"Johnson County, Nebraska",4419,192,212,265,102,142,243,18,109,60,459,112,98,180
0500000US31099,"Kearney County, Nebraska",5164,393,250,400,125,287,202,150,153,120,906,187,210,97
0500000US31101,"Keith County, Nebraska",6730,465,342,341,155,586,413,62,221,203,851,340,203,143
0500000US31103,"Keya Paha County, Nebraska",634,175,21,15,2,26,16,3,8,3,53,11,48,21
0500000US31105,"Kimball County, Nebraska",3068,235,106,247,60,221,177,16,100,117,467,56,79,133
0500000US31107,"Knox County, Nebraska",6926,852,329,308,109,450,181,61,224,158,1028,172,210,278
0500000US31109,"Lancaster County, Nebraska",221844,1535,9724,14380,3868,16306,6644,3470,13888,14810,39915,12865,7087,9585
0500000US31111,"Lincoln County, Nebraska",28077,864,1103,655,414,2439,3464,299,761,964,3861,1511,801,912
0500000US31113,"Logan County, Nebraska",542,82,35,4,14,38,61,11,16,9,83,9,12,10
0500000US31115,"Loup County, Nebraska",522,110,23,11,6,11,26,0,6,15,84,0,6,6
0500000US31117,"McPherson County, Nebraska",391,73,13,33,0,8,49,3,0,0,47,12,24,19
0500000US31119,"Madison County, Nebraska",26882,921,1043,3404,926,2312,949,173,829,807,4120,1399,709,546
