year,state,state_po,county_name,county_fips,office,candidate,party,demVotes,repVotes,totalvotes
2008,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,BARACK OBAMA,DEMOCRAT,6093,17548,23641
2008,ALABAMA,AL,BALDWIN,1003,PRESIDENT,BARACK OBAMA,DEMOCRAT,19386,62027,81413
2008,ALABAMA,AL,BARBOUR,1005,PRESIDENT,BARACK OBAMA,DEMOCRAT,5697,5933,11630
2008,ALABAMA,AL,BIBB,1007,PRESIDENT,BARACK OBAMA,DEMOCRAT,2299,6345,8644
2008,ALABAMA,AL,BLOUNT,1009,PRESIDENT,BARACK OBAMA,DEMOCRAT,3522,20745,24267
2008,ALABAMA,AL,BLOUNT,1009,PRESIDENT,JOHN MCCAIN,REPUBLICAN,20389,3878,24267
2008,ALABAMA,AL,BULLOCK,1011,PRESIDENT,JOHN MCCAIN,REPUBLICAN,1391,4024,5415
2008,ALABAMA,AL,BUTLER,1013,PRESIDENT,JOHN MCCAIN,REPUBLICAN,5485,4224,9709
2008,ALABAMA,AL,CALHOUN,1015,PRESIDENT,JOHN MCCAIN,REPUBLICAN,32348,16894,49242
2008,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,JOHN MCCAIN,REPUBLICAN,8067,6889,14956
2008,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,BARACK OBAMA,DEMOCRAT,2306,7439,9745
2008,ALABAMA,AL,CHILTON,1021,PRESIDENT,BARACK OBAMA,DEMOCRAT,3674,14111,17785
2008,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,BARACK OBAMA,DEMOCRAT,3636,4258,7894
2008,ALABAMA,AL,CLARKE,1025,PRESIDENT,BARACK OBAMA,DEMOCRAT,5914,7521,13435
2008,ALABAMA,AL,CLAY,1027,PRESIDENT,BARACK OBAMA,DEMOCRAT,1760,5059,6819
2008,ALABAMA,AL,CLAY,1027,PRESIDENT,JOHN MCCAIN,REPUBLICAN,4984,1835,6819
2008,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,JOHN MCCAIN,REPUBLICAN,5216,1276,6492
2008,ALABAMA,AL,COFFEE,1031,PRESIDENT,JOHN MCCAIN,REPUBLICAN,14919,5209,20128
2008,ALABAMA,AL,COLBERT,1033,PRESIDENT,JOHN MCCAIN,REPUBLICAN,14739,10104,24843
2008,ALABAMA,AL,CONECUH,1035,PRESIDENT,JOHN MCCAIN,REPUBLICAN,3470,3473,6943
2008,ALABAMA,AL,COOSA,1037,PRESIDENT,BARACK OBAMA,DEMOCRAT,2273,3290,5563
2008,ALABAMA,AL,COVINGTON,1039,PRESIDENT,BARACK OBAMA,DEMOCRAT,3240,12547,15787
2008,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,BARACK OBAMA,DEMOCRAT,1938,4353,6291
2008,ALABAMA,AL,CULLMAN,1043,PRESIDENT,BARACK OBAMA,DEMOCRAT,5864,29441,35305
